Team1,Sri Lanka
Team2,India
Winner,India
Sri Lanka,Statics
Batting
FDM Karunaratne,10,17,2,0,caught,JJ Bumrah
MDKJ Perera,18,14,3,0,caught,JJ Bumrah
WIA Fernando,20,21,4,0,caught,HH Pandya
BKG Mendis,3,13,0,0,stumped,RA Jadeja
AD Mathews,113,125,10,2,caught,JJ Bumrah
HDRL Thirimanne,53,68,4,0,caught,Kuldeep Yadav
DM de Silva,29,35,1,0,-,-
NLTC Perera,2,3,0,0,caught,B Kumar
I Udana,1,1,0,0,-,-
Balling
SL Malinga,10.0,82,1
CAK Rajitha,8.0,48,1
I Udana,9.3,50,1
NLTC Perera,10.0,34,0
DM de Silva,6.0,51,0
fow,17/1,40/2,53/3,55/4,179/5,253/6,260/7
per over score,5/0,0/0,12/0,2/1,9/0,5/0,7/1,9/0,1/0,2/0,2/1,2/1,2/0,3/0,1/0,4/0,2/0,6/0,3/0,6/0,4/0,6/0,3/0,4/0,3/0,7/0,7/0,1/0,4/0,9/0,4/0,5/0,4/0,5/0,14/0,6/0,9/0,4/1,11/0,8/0,5/0,7/0,6/0,9/0,6/0,7/0,3/0,9/0,4/1
Sri Lanka Score,264/7
India,Statics
Batting
KL Rahul,111,118,11,1,caught,SL Malinga
RG Sharma,103,93,14,2,caught,CAK Rajitha
V Kohli,34,41,3,0,-,-
RR Pant,4,4,1,0,lbw,I Udana
HH Pandya,7,4,1,0,-,-
Balling
B Kumar,10.0,73,1
JJ Bumrah,10.0,38,3
HH Pandya,10.0,54,1
RA Jadeja,10.0,40,1
Kuldeep Yadav,10.0,59,1
fow,189/1,244/2,253/3
per over score,4/0,14/0,9/0,2/0,11/0,8/0,3/0,1/0,1/0,7/0,5/0,6/0,7/0,2/0,2/0,7/0,8/0,3/0,3/0,6/0,7/0,5/0,16/0,6/0,9/0,9/0,13/0,4/0,6/0,5/1,5/0,2/0,8/0,4/0,3/0,4/0,6/0,2/0,9/0,6/0,10/1,6/1,9/0
India Score,265/3
Result : India won by 7 wickets.
Man of the Match : RG Sharma
